ciudad,h_km
Trujillo,0
Chimbote,117
Casma,171
Huaraz,228
Barranca,324
Lima,488
La Oroya,510
Huancayo,606
Chincha,669
Huancavelica,683
Pisco,694
Ica,753
Ayacucho,768
Nasca,870
Andahuaylas,871
Puquio,906
Abancay,909
Cusco,978
